State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Minnesota,Chippewa,15,5,22,8.9,26,65,23,30,217,27,1084:01:00,2360:01:00,1311:01:00,49,47,13,4.7,18,30.2,11,91,93,6.3,No,9,78,20
Minnesota,Chisago,12,7,19,9.4,21,79,26,29,240.5,12,2237:01:00,2357:01:00,754:01:00,38,49,6,3.2,13,9.8,37,68,60,7,No,10,81,55
Minnesota,Clay,13,7,17,9.1,19,87,22,29,350.8,9,4568:01:00,1889:01:00,423:01:00,53,53,12,4.5,15,11.6,84,135,57,6,No,14,80,18
Minnesota,Clearwater,18,4,24,6.7,28,64,22,50,236.5,26,2203:01:00,2939:01:00,4409:01:00,45,28,15,4.7,21,20.4,20,220,88,5.6,No,16,78,36
Minnesota,Cook,13,9,17,8,20,99,24,,185.3,,674:01:00,1821:01:00,1093:01:00,36,32,12,3.6,22,20.4,4,67,56,3.7,No,18,68,20
Minnesota,Cottonwood,15,7,20,7.7,27,78,23,36,212.5,20,1410:01:00,1599:01:00,800:01:00,47,39,15,3.5,15,19.5,14,117,79,8.5,No,12,80,20
Minnesota,Crow Wing,13,6,22,8.8,22,70,23,11,246.8,20,927:01:00,1227:01:00,325:01:00,52,49,14,4.2,19,14.2,127,200,85,5.9,No,12,82,23
Minnesota,Dakota,11,7,15,9.2,18,97,20,25,350.2,9,1530:01:00,1371:01:00,548:01:00,44,53,8,3.8,20,8.7,585,141,58,7,No,11,81,35
Minnesota,Dodge,12,5,18,9.6,22,65,26,38,245.6,10,2082:01:00,5234:01:00,3489:01:00,47,55,6,3.3,19,14.9,21,100,74,7,No,8,80,35
Minnesota,Douglas,13,6,19,8.7,24,80,25,25,207.6,15,904:01:00,1362:01:00,454:01:00,56,50,8,3.9,14,21.6,45,122,75,5.7,No,12,83,15
Minnesota,Faribault,16,6,21,8.6,29,70,21,14,253.9,14,1720:01:00,1950:01:00,2276:01:00,40,52,17,4.3,18,26.9,10,68,75,7.5,No,10,81,28
Minnesota,Fillmore,14,5,20,9.2,24,80,23,40,176.4,9,3008:01:00,1915:01:00,5267:01:00,48,54,13,3.9,12,30.9,10,46,76,7.2,No,12,73,43
Minnesota,Freeborn,16,6,20,8,23,69,21,17,373.3,24,1791:01:00,2329:01:00,865:01:00,44,47,13,3.9,25,18.7,29,93,82,7.3,Yes,11,83,19
Minnesota,Goodhue,13,6,18,8.9,21,91,22,31,257,13,1326:01:00,2207:01:00,986:01:00,48,53,9,4.1,19,20,61,130,87,7,Yes,12,82,36
Minnesota,Grant,14,8,20,7.7,32,60,23,25,151.5,13,3011:01:00,5972:01:00,5972:01:00,54,53,14,3.8,19,26.6,1,17,47,5.7,Yes,10,79,32
Minnesota,Hennepin,11,7,13,8.8,16,100,24,31,628.3,13,843:01:00,1002:01:00,239:01:00,39,53,12,4.8,23,11.1,5493,449,69,7.8,Yes,16,73,30
Minnesota,Houston,12,5,18,9.1,24,97,25,0,155.4,8,1689:01:00,2067:01:00,3720:01:00,54,56,9,3.8,16,15.1,10,53,74,7.2,No,10,82,31
Minnesota,Hubbard,14,6,20,8.3,26,58,22,47,271.2,23,1641:01:00,4298:01:00,827:01:00,48,33,15,4.1,21,11.7,27,130,77,5.5,No,13,78,24
Minnesota,Isanti,13,6,19,9.1,24,40,23,26,219.8,12,1378:01:00,2255:01:00,588:01:00,42,49,9,3.5,20,10.5,42,108,75,6.7,No,13,84,57
Minnesota,Itasca,14,7,21,8.2,23,64,21,42,376.6,20,1100:01:00,1410:01:00,373:01:00,46,44,15,4.5,18,13.1,75,164,104,5.2,No,12,80,26
Minnesota,Jackson,14,7,20,9.1,26,47,24,44,221.2,15,,2462:01:00,985:01:00,53,35,14,3.6,11,23.2,3,25,62,7.5,No,8,78,19
Minnesota,Kanabec,16,6,22,8.5,29,39,22,23,274.6,18,1080:01:00,1815:01:00,778:01:00,38,45,15,3.7,11,13,23,142,98,6.1,No,14,78,41
Minnesota,Kandiyohi,15,6,19,8.5,21,67,22,24,332.2,24,1045:01:00,1309:01:00,250:01:00,49,54,14,4.3,27,19.6,75,175,65,6.1,Yes,13,82,16
Minnesota,Kittson,14,5,20,7.5,21,40,23,100,164.7,,,2149:01:00,,41,28,12,3.6,25,35.3,1,22,79,5.8,No,7,74,29
Minnesota,Koochiching,16,7,21,6.7,28,72,24,13,199.6,14,3110:01:00,2446:01:00,719:01:00,46,29,19,4.2,30,15.3,17,127,88,4.8,No,12,73,13
Minnesota,Lac qui Parle,14,5,20,8.8,23,47,23,50,104.7,,951:01:00,2208:01:00,6623:01:00,55,25,12,4,19,24,3,36,83,5.9,No,8,75,22
Minnesota,Lake,12,6,18,8.9,24,77,24,44,266.1,20,1184:01:00,2128:01:00,1330:01:00,40,52,11,3.9,24,16,9,80,81,3.1,No,12,75,33
Minnesota,Lake of the Woods,15,4,21,8.2,21,56,23,25,187,19,1879:01:00,3740:01:00,3740:01:00,36,20,12,4.2,33,31.9,2,51,63,4.9,No,13,66,26
Minnesota,Le Sueur,13,6,19,9.2,19,77,27,31,259.7,12,7124:01:00,2889:01:00,3210:01:00,47,51,8,3.7,18,14.7,14,50,63,7.2,No,10,82,41
Minnesota,Lincoln,15,5,20,8.8,23,49,23,0,193.7,13,1891:01:00,1880:01:00,5639:01:00,48,23,12,5.1,13,24.7,10,164,70,5.3,No,9,71,39
Minnesota,Lyon,15,5,19,8.5,26,76,20,29,352.3,15,1281:01:00,1698:01:00,531:01:00,52,52,13,4.2,23,17.6,28,108,58,4.4,No,12,79,13
Minnesota,McLeod,14,6,20,8.7,26,78,23,53,231.3,14,1055:01:00,1329:01:00,449:01:00,38,51,8,3.6,15,17,33,92,63,6.4,No,10,85,28
Minnesota,Mahnomen,24,8,30,6.6,31,54,22,20,750.5,59,5519:01:00,,,35,32,34,4.7,35,9.1,12,209,174,5.3,No,16,76,23
Minnesota,Marshall,15,5,21,7.7,29,50,24,20,160.3,12,9390:01:00,4668:01:00,,44,46,10,3.6,16,31.9,3,27,70,6,No,8,79,39
Minnesota,Martin,15,6,20,7.7,21,74,21,43,267,20,1237:01:00,1514:01:00,895:01:00,42,52,17,4.3,22,18.2,23,112,73,7.7,No,10,80,14
Minnesota,Meeker,14,5,19,8.8,20,58,23,59,194.5,16,1653:01:00,2322:01:00,1548:01:00,47,45,9,3.8,13,15.6,25,106,57,6,No,12,82,33
Minnesota,Mille Lacs,17,7,24,8.7,26,61,20,39,289.9,28,1452:01:00,1877:01:00,424:01:00,39,33,15,4.4,21,19.9,35,136,112,6.4,No,14,78,46
Minnesota,Morrison,15,5,22,8,25,49,23,34,124,14,1843:01:00,2226:01:00,902:01:00,48,37,10,4.2,17,17.8,11,32,87,6.1,No,12,79,38
Minnesota,Mower,16,7,20,8.7,25,73,21,0,449.9,25,2501:01:00,2003:01:00,932:01:00,50,56,15,4.4,24,14,82,208,76,7.2,No,11,78,21
Minnesota,Murray,14,7,19,8.9,22,41,25,33,155.8,9,8276:01:00,4097:01:00,1639:01:00,57,44,11,3.9,16,38.7,5,59,89,6.3,No,9,78,26
Minnesota,Nicollet,13,6,17,8.6,20,82,23,17,294.4,6,1141:01:00,1371:01:00,385:01:00,52,58,11,3.7,22,10.2,34,101,48,7.7,No,11,76,15
Minnesota,Nobles,19,6,21,8.4,26,65,19,36,432.9,44,1566:01:00,1545:01:00,721:01:00,57,55,14,4.2,30,16,26,117,58,6.6,Yes,15,75,14
Minnesota,Norman,15,8,21,8.2,24,42,22,57,60.6,18,,1594:01:00,,45,26,16,4,13,15.4,1,8,122,5.7,No,9,75,34
Minnesota,Olmsted,11,6,15,9.2,17,91,20,16,462.8,12,425:01:00,791:01:00,248:01:00,61,61,8,4.2,18,11.6,251,165,57,6.3,No,12,73,12
Minnesota,Otter Tail,13,6,19,8.6,24,55,23,24,183.4,17,1782:01:00,1433:01:00,716:01:00,48,48,15,4.2,18,20.4,57,99,76,5.7,Yes,12,77,26
Minnesota,Pennington,14,6,20,8.6,22,67,25,18,323.1,24,1575:01:00,1765:01:00,455:01:00,45,47,11,4.1,25,14.1,15,105,66,6.2,No,10,81,10
Minnesota,Pine,17,7,23,8.4,29,63,23,41,215.7,22,4914:01:00,2958:01:00,548:01:00,39,31,16,4.2,16,14.2,77,266,88,6.1,Yes,16,77,41
Minnesota,Pipestone,16,6,20,8.2,26,65,22,43,99,18,1809:01:00,2282:01:00,913:01:00,49,55,16,4.2,12,24.3,3,33,68,5.9,No,13,78,23
Minnesota,Polk,15,6,19,7.9,27,67,24,45,221.4,17,1971:01:00,1960:01:00,424:01:00,47,52,14,4.8,21,20.9,61,193,69,6.8,Yes,13,78,21
Minnesota,Pope,13,7,19,9,21,52,26,0,127.6,13,793:01:00,3750:01:00,1023:01:00,53,21,11,3.9,13,26.1,8,73,56,5.8,No,10,81,23
Minnesota,Ramsey,14,8,16,8.4,20,100,20,31,619.7,18,919:01:00,1123:01:00,229:01:00,39,53,17,4.6,26,11.7,2275,423,72,7.2,No,18,73,30
Minnesota,Red Lake,15,6,20,6.4,22,63,24,100,223.3,24,3999:01:00,,,61,33,11,4,25,22.5,1,12,84,6.7,No,8,80,31
Minnesota,Redwood,15,7,22,7.9,31,64,21,12,144.1,12,2542:01:00,2528:01:00,3034:01:00,45,47,12,4,19,24.9,19,119,89,7,No,8,78,20
Minnesota,Renville,15,8,21,8.3,26,68,23,15,259.5,29,3653:01:00,1616:01:00,3637:01:00,48,33,13,3.9,16,29.4,17,114,79,6.7,Yes,9,82,24
Minnesota,Rice,13,6,18,8.9,18,83,24,21,292.6,9,1073:01:00,1810:01:00,598:01:00,51,58,9,4,18,11,101,154,57,7.2,Yes,13,73,32
Minnesota,Rock,14,6,19,9,29,60,24,25,231.8,13,1046:01:00,2329:01:00,621:01:00,57,59,11,4.2,10,23.4,71,744,82,6.6,No,11,83,29
Minnesota,Roseau,13,6,20,8.6,25,48,23,20,110.9,16,1683:01:00,1896:01:00,3033:01:00,49,50,8,3.4,15,15.8,2,10,57,5.8,Yes,11,76,17
Minnesota,St. Louis,14,7,21,8,20,82,25,35,423.5,13,777:01:00,1088:01:00,357:01:00,43,49,13,4.6,22,15.3,479,239,87,5.2,Yes,14,80,20
Minnesota,Scott,11,6,15,9.6,18,88,23,22,294.2,7,1866:01:00,2365:01:00,1014:01:00,46,53,5,3.7,12,6.7,141,99,46,6.2,No,10,83,41
Minnesota,Sherburne,12,6,18,9.1,18,89,26,23,258,10,2596:01:00,2315:01:00,549:01:00,44,49,6,3.3,16,8.5,95,104,58,6.9,No,9,84,51
Minnesota,Sibley,14,5,20,9.5,27,60,23,14,242.1,12,7514:01:00,2478:01:00,2478:01:00,43,34,17,3.7,11,16.6,8,54,68,6.9,No,10,81,39
Minnesota,Stearns,13,6,19,8.7,21,76,23,28,379.5,10,1002:01:00,1278:01:00,305:01:00,49,46,14,4.1,18,14.5,307,199,58,5.6,Yes,13,80,22
Minnesota,Steele,14,7,18,8.9,21,70,23,27,368.7,18,1472:01:00,1222:01:00,421:01:00,48,53,9,3.8,17,16,46,126,60,7.2,Yes,13,85,19
Minnesota,Stevens,14,5,19,9,19,77,22,17,176.5,5,1219:01:00,1089:01:00,577:01:00,54,54,9,5,9,22.6,15,148,49,6,No,15,76,7
Minnesota,Swift,16,6,21,8.1,30,44,24,69,287,19,2336:01:00,2317:01:00,927:01:00,44,28,14,4.7,26,19.3,8,85,100,6.1,No,9,78,25
Minnesota,Todd,16,5,21,7.8,25,40,24,20,240.7,24,1171:01:00,2242:01:00,2242:01:00,43,18,17,3.8,13,21.2,26,105,77,5.9,No,13,78,33
Minnesota,Traverse,15,5,20,7.7,30,66,25,,301.3,,3308:01:00,3259:01:00,,59,20,20,3.7,20,21.2,6,162,102,6.5,No,12,74,21
Minnesota,Wabasha,13,5,18,9.3,24,91,25,31,157.3,15,1273:01:00,1352:01:00,3605:01:00,51,46,10,4.1,18,19.4,18,82,64,7,No,10,77,40
Minnesota,Wadena,16,7,23,7.4,31,67,23,17,182.9,27,1722:01:00,1520:01:00,318:01:00,38,22,16,4,21,18.2,11,79,118,5.4,No,14,77,27
Minnesota,Waseca,14,6,20,8.4,29,79,24,13,324.7,13,3115:01:00,2068:01:00,3722:01:00,51,54,12,4.2,16,16.6,17,89,66,7.3,No,12,83,25
Minnesota,Washington,11,6,14,9.2,16,94,22,30,292.6,6,932:01:00,1312:01:00,368:01:00,43,55,5,3.6,17,8.4,237,94,51,6.7,No,10,83,40
Minnesota,Watonwan,19,6,20,9,26,73,21,50,369,40,3660:01:00,1362:01:00,1362:01:00,47,48,14,4.8,23,22.8,19,173,88,8.2,Yes,9,77,27
Minnesota,Wilkin,13,5,19,8.6,33,62,24,25,332.1,10,,3104:01:00,443:01:00,49,54,11,4,23,14.4,7,101,70,5.7,No,8,81,24
Minnesota,Winona,14,7,19,8.8,24,96,23,9,395.1,6,2541:01:00,1629:01:00,510:01:00,49,59,11,4.3,16,11.8,49,95,62,7.1,No,15,77,22
Minnesota,Wright,12,5,16,9.6,20,86,25,29,193.6,8,2272:01:00,2386:01:00,881:01:00,44,51,5,3.4,13,9.8,100,76,46,6.2,No,10,85,49
Minnesota,Yellow Medicine,15,6,21,8.3,26,58,24,38,131.8,18,1399:01:00,2427:01:00,1618:01:00,50,38,13,3.9,19,24.5,12,121,61,6.2,No,10,78,22
Mississippi,,22,12,21,4.1,30,54,15,20,740.1,34,1890:01:00,2051:01:00,591:01:00,39,43,28,5.3,37,12.7,8361,279,88,8.7,,15,85,33
Mississippi,Adams,31,13,25,5.2,29,69,13,29,812.8,48,1114:01:00,2046:01:00,990:01:00,45,44,41,6,58,14.4,97,304,120,8.2,No,14,87,16
Mississippi,Alcorn,23,11,25,7.1,31,31,16,19,387,43,2638:01:00,1848:01:00,349:01:00,34,44,24,4.7,27,11.6,,,105,8.5,No,11,87,25
Mississippi,Amite,27,11,25,6.2,41,27,14,18,281.2,31,6163:01:00,4099:01:00,12297:1,39,25,29,6.7,36,13.8,,,79,8.4,No,10,83,52
Mississippi,Attala,27,14,24,5.8,31,33,14,17,790.2,39,2041:01:00,3029:01:00,3635:01:00,39,50,35,5.9,42,14.7,,,105,8.7,No,16,82,36
Mississippi,Benton,27,11,26,5.2,38,80,14,14,457.2,54,8271:01:00,4130:01:00,2753:01:00,31,43,31,4.3,40,8.5,,,131,8.3,Yes,9,88,49
Mississippi,Bolivar,30,14,25,3.9,32,39,14,13,851.5,40,1958:01:00,2356:01:00,1702:01:00,34,41,49,6.9,50,15.3,,,78,8.7,No,20,84,25
Mississippi,Calhoun,27,12,26,6.6,39,38,15,26,696.9,39,7218:01:00,4787:01:00,14361:1,34,43,26,4.7,36,15.2,,,106,8.8,Yes,13,88,40
Mississippi,Carroll,23,13,23,5.8,34,21,15,11,532.6,35,4956:01:00,4974:01:00,,41,44,24,5.8,28,7.1,,,77,8.4,No,16,90,39
Mississippi,Chickasaw,29,13,25,7.1,33,23,14,7,851.5,50,1908:01:00,3421:01:00,4276:01:00,38,41,33,5,34,10.5,,,99,8.9,No,17,85,37
Mississippi,Choctaw,24,11,24,6.8,36,8,15,25,471.1,40,2759:01:00,1642:01:00,746:01:00,37,35,32,5.4,30,9.7,5,60,104,8.7,No,12,85,42
Mississippi,Claiborne,36,16,27,4.5,39,0,10,75,,30,2251:01:00,2996:01:00,2247:01:00,38,35,49,4.6,59,5.6,22,280,115,8.1,No,18,85,28
Mississippi,Clarke,24,13,24,6.7,24,24,15,11,758.2,42,3121:01:00,5180:01:00,3108:01:00,43,34,33,5.7,35,17.9,,,112,8.9,No,11,86,47
Mississippi,Clay,27,14,23,5.9,32,67,13,38,799.4,27,2154:01:00,4829:01:00,552:01:00,45,34,35,6,55,15,56,276,57,9.1,No,15,86,24
Mississippi,Coahoma,33,18,25,4.6,35,72,11,15,1589.4,60,1886:01:00,2011:01:00,191:01:00,30,38,49,6.3,61,8.8,,,114,8.7,Yes,16,77,24
Mississippi,Copiah,27,15,23,6.2,41,43,14,17,1122.2,36,3171:01:00,2551:01:00,14033:1,38,49,33,5,45,11.2,,,80,8.7,Yes,18,86,46
Mississippi,Covington,26,12,24,,33,31,14,17,728.5,42,2357:01:00,3106:01:00,1242:01:00,42,47,33,5.5,37,11.1,,,118,9,No,14,87,44
Mississippi,DeSoto,18,9,18,7.6,26,70,15,17,549.9,23,3085:01:00,2845:01:00,1149:01:00,36,53,13,3.7,25,8.3,233,161,71,7.9,No,13,87,40
Mississippi,Forrest,23,12,22,6.2,28,75,15,11,1156.7,30,1294:01:00,2774:01:00,257:01:00,45,54,29,5.6,39,13.7,127,196,77,9,No,18,81,21
Mississippi,Franklin,24,10,24,6.4,36,70,15,0,682.5,35,3894:01:00,7713:01:00,7713:01:00,28,26,28,6.2,22,16.7,,,126,8.3,No,8,86,42
Mississippi,George,23,9,23,7.3,27,40,17,30,464.8,48,2694:01:00,3063:01:00,3063:01:00,33,26,24,4.5,14,9.1,12,59,119,8.6,No,10,75,49
Mississippi,Greene,23,7,23,7.4,30,14,16,10,412.1,29,,6793:01:00,6793:01:00,29,32,24,4.6,23,7.4,15,109,62,8.4,No,13,75,35
Mississippi,Grenada,25,12,24,6.3,31,34,14,6,863.1,46,2339:01:00,2076:01:00,1887:01:00,36,37,28,4.7,43,13.3,,,102,7.6,Yes,17,88,19
Mississippi,Hancock,20,8,21,6.1,29,55,17,13,361.3,30,2958:01:00,4330:01:00,3402:01:00,41,42,26,4.8,34,6.3,39,124,90,7.9,Yes,15,84,45
Mississippi,Harrison,22,10,22,5.9,28,71,16,22,660.4,32,1694:01:00,1397:01:00,467:01:00,35,38,27,4.9,37,9.2,471,234,79,8,Yes,19,84,27
Mississippi,Hinds,24,15,20,6.2,31,69,13,20,1237.2,32,1228:01:00,999:01:00,311:01:00,43,42,30,4.8,49,14.3,1614,755,88,8.4,Yes,20,84,31
Mississippi,Holmes,37,14,29,2.4,41,27,10,39,1353,37,1958:01:00,2430:01:00,3402:01:00,32,29,45,6.6,73,10.2,,,117,8.6,No,18,82,43
Mississippi,Humphreys,36,15,29,4.5,29,36,11,13,1066.9,42,2752:01:00,4032:01:00,,32,15,55,5.7,65,10.9,,,81,8.3,No,20,74,27
Mississippi,Issaquena,37,25,31,2.7,19,18,12,0,373.4,,1308:00:00,1327:00:00,,19,28,44,6.3,41,0,,,,8.1,No,18,91,20
Mississippi,Itawamba,23,11,24,7.3,31,49,16,17,,34,5879:01:00,5848:01:00,5848:01:00,36,53,19,3.9,20,11.5,25,107,103,8.7,No,11,83,41
Mississippi,Jackson,20,10,20,6.6,26,75,17,25,507.9,28,2171:01:00,2434:01:00,630:01:00,37,41,22,4.9,34,9.1,280,220,84,7.8,No,13,88,35
Mississippi,Jasper,27,13,24,6.6,33,30,13,10,832.2,33,5476:01:00,3277:01:00,8192:01:00,33,44,30,5.5,51,10.3,,,81,9,No,15,90,51
Mississippi,Jefferson,38,15,29,4.3,36,61,10,33,1280.6,45,1777:01:00,,3495:01:00,40,28,43,4.8,68,4.2,15,252,111,7.9,Yes,12,87,37
Mississippi,Jefferson Davis,29,15,25,5.9,34,23,12,13,830.8,40,5617:01:00,2782:01:00,1391:01:00,42,47,36,7.4,48,12.5,,,143,8.8,No,21,88,57
Mississippi,Jones,24,11,24,6.9,37,50,14,4,686,43,2208:01:00,1840:01:00,1064:01:00,40,51,38,5,34,14.6,143,224,90,9.3,No,13,87,23
Mississippi,Kemper,31,15,27,3.8,25,1,12,31,890.4,21,10027:1,4871:01:00,,46,31,40,4.3,47,11,9,99,71,8.8,No,14,85,57
Mississippi,Lafayette,19,8,19,6.4,22,81,16,26,783.5,10,1612:01:00,2161:01:00,158:01:00,46,56,16,5.5,27,12,,,56,8.8,No,22,82,18
Mississippi,Lamar,17,10,18,7.5,26,52,16,13,368.2,27,781:01:00,945:01:00,2639:01:00,46,52,22,5.3,20,9.9,33,58,60,9,No,14,84,30
Mississippi,Lauderdale,23,13,22,6.1,30,52,14,8,825.9,35,1046:01:00,1483:01:00,327:01:00,52,39,32,5.8,41,15.4,284,359,83,9.2,No,15,83,18
Mississippi,Lawrence,24,11,23,6.8,38,28,14,23,711.9,42,4152:01:00,6293:01:00,12586:1,38,44,26,5.4,28,16.1,,,90,8.8,No,16,89,54
Mississippi,Leake,30,10,27,5.9,35,23,13,22,810,62,4553:01:00,3255:01:00,11393:1,35,36,36,5.8,45,13.2,,,90,9,No,16,79,42
Mississippi,Lee,22,12,21,6.9,28,53,15,16,678.2,39,991:01:00,1448:01:00,173:01:00,42,56,24,4.9,31,13.3,,,89,9,No,16,89,21
Mississippi,Leflore,33,15,27,3.3,33,69,12,15,1505.7,50,1257:01:00,2349:01:00,196:01:00,42,40,51,8,61,10.7,97,614,114,8.6,Yes,20,88,8
Mississippi,Lincoln,23,11,23,6.3,32,54,16,9,585.2,35,2280:01:00,2627:01:00,1314:01:00,36,48,24,6.2,36,16.7,24,108,95,8.6,No,12,91,33
Mississippi,Lowndes,23,11,22,6.7,27,67,14,10,892.1,29,2105:01:00,1776:01:00,480:01:00,44,37,25,5.7,41,13.4,,,87,9.2,No,14,88,17
Mississippi,Madison,16,11,14,7.9,23,77,17,30,538.1,18,755:01:00,1380:01:00,584:01:00,48,51,15,4.5,28,12.7,137,155,59,9.5,No,14,85,27
Mississippi,Marion,29,11,27,5.2,30,35,15,4,526.5,42,2746:01:00,4096:01:00,2048:01:00,37,42,31,5.9,31,19,76,293,119,8.6,No,16,85,41
Mississippi,Marshall,26,12,23,7,37,35,15,20,780.5,34,8863:01:00,7059:01:00,3209:01:00,32,42,31,4.2,39,9,133,374,110,8.7,No,15,87,50
Mississippi,Monroe,24,14,24,7.3,36,24,15,38,825.2,35,2092:01:00,2712:01:00,8813:01:00,38,46,24,5.2,27,12.9,,,95,9,No,12,84,32
Mississippi,Montgomery,27,14,24,5.9,29,8,14,13,717.6,41,1671:01:00,2444:01:00,4888:01:00,43,40,37,5.5,50,11,,,115,8.5,No,15,87,41
Mississippi,Neshoba,28,9,28,6.7,33,45,15,21,837.6,48,1713:01:00,1713:01:00,1040:01:00,39,23,30,5.4,46,12,,,113,9.4,No,16,77,35
Mississippi,Newton,25,12,24,6.5,29,45,15,16,675,38,5361:01:00,4204:01:00,3003:01:00,45,32,27,4.5,36,15.4,,,113,9.1,Yes,15,82,44
Mississippi,Noxubee,30,12,26,5.5,32,40,13,5,1284.7,40,,10417:1,613:01:00,44,40,41,5.8,53,10.4,,,112,8.8,No,18,82,42
Mississippi,Oktibbeha,22,11,21,6,23,60,13,19,921.7,10,2480:01:00,2755:01:00,511:01:00,37,51,28,8.8,37,11.9,88,176,49,9,No,21,83,18
Mississippi,Panola,27,12,25,6.1,40,18,14,29,1226.7,51,4883:01:00,3799:01:00,1069:01:00,35,51,33,4.4,35,10.8,144,446,112,8.8,No,15,87,36
Mississippi,Pearl River,21,10,23,7.1,33,48,17,37,492.1,32,3692:01:00,4628:01:00,1851:01:00,38,48,25,5.2,25,9,,,112,8.6,No,13,81,48
Mississippi,Perry,26,8,25,6.7,34,55,14,6,664.9,49,5966:01:00,11973:1,11973:1,34,45,29,5.4,30,10.9,,,73,8.7,Yes,12,86,52
Mississippi,Pike,30,13,26,5.6,34,52,12,24,742.4,42,2327:01:00,1786:01:00,234:01:00,37,36,37,7,53,16.9,,,91,8.6,Yes,18,87,27
Mississippi,Pontotoc,25,10,23,7.1,33,29,15,24,391.9,44,5306:01:00,6435:01:00,2475:01:00,42,36,22,4.2,30,9.4,,,96,8.9,No,14,87,37
Mississippi,Prentiss,27,12,26,6.7,38,57,15,41,391.9,45,2532:01:00,2284:01:00,931:01:00,40,54,23,5.5,24,8.3,,,100,8.6,No,11,85,31
Mississippi,Quitman,36,17,29,3.7,39,17,11,40,990.5,47,7051:01:00,6792:01:00,3396:01:00,25,39,52,6.2,59,9.9,,,134,8.7,Yes,18,84,50
Mississippi,Rankin,18,9,17,7.6,29,70,16,11,367.6,21,1637:01:00,1568:01:00,784:01:00,44,49,14,3.8,22,10.9,74,64,67,9.4,Yes,9,88,39
Mississippi,Scott,30,13,27,6,33,69,13,8,830.4,64,7072:01:00,2557:01:00,5625:01:00,36,34,29,5.3,45,12.4,92,483,107,9,Yes,15,76,38
Mississippi,Sharkey,35,14,28,5,46,2,11,13,1172.5,65,4377:01:00,,4321:01:00,31,35,51,5.6,65,18.3,,,103,8.1,Yes,9,87,36
Mississippi,Simpson,27,12,26,6.6,32,29,14,9,411.9,35,2433:01:00,3808:01:00,3332:01:00,38,44,28,5.3,30,13.1,,,79,8.9,No,18,88,54
Mississippi,Smith,24,11,24,7.1,29,47,16,26,447.8,39,16002:1,3183:01:00,7958:01:00,34,49,27,5.3,28,8.7,,,109,9.1,No,12,86,53
Mississippi,Stone,23,12,24,6.8,27,69,16,37,425.1,29,3743:01:00,6112:01:00,4584:01:00,35,38,29,4.8,25,4.8,32,175,83,8.6,No,15,79,50
Mississippi,Sunflower,32,15,26,4,31,28,13,9,1046.9,44,3217:01:00,2511:01:00,2790:01:00,33,19,47,5.5,61,10.5,,,91,8.6,Yes,20,81,20
Mississippi,Tallahatchie,33,15,28,4.1,33,27,13,13,977,60,4662:01:00,4603:01:00,2302:01:00,26,28,44,6.5,57,12.9,,,94,8.6,No,13,80,42
Mississippi,Tate,24,10,22,6.2,29,29,15,45,657.5,24,4793:01:00,3147:01:00,5664:01:00,29,51,23,4.5,37,12.2,,,108,8.9,No,17,89,56
Mississippi,Tippah,26,11,26,6.9,45,58,16,14,323.2,41,7332:01:00,4403:01:00,881:01:00,32,45,22,4.4,30,16.4,,,92,8.4,No,12,82,33
Mississippi,Tishomingo,25,11,25,7.4,41,51,16,31,194.5,32,3242:01:00,19383:1,923:01:00,39,49,22,4.8,19,5.7,5,26,126,8.4,No,11,89,30
Mississippi,Tunica,28,14,23,6.1,38,57,12,25,1805.7,71,,,3211:01:00,26,32,43,5.2,62,3,45,429,104,8.7,No,27,85,34
Mississippi,Union,23,10,24,7.2,30,59,15,15,409.7,46,2043:01:00,2620:01:00,4803:01:00,39,41,18,4.4,20,14.3,,,85,8.7,No,13,88,34
Mississippi,Walthall,29,12,26,6.1,31,21,13,50,586.2,35,2411:01:00,4762:01:00,14286:1,39,32,33,6.7,35,11.8,,,91,8.4,No,20,83,40
Mississippi,Warren,24,13,21,6.2,31,55,15,15,1101.2,46,1776:01:00,1513:01:00,207:01:00,41,43,33,5.5,45,14.1,164,344,89,8.6,No,18,87,21
Mississippi,Washington,29,14,25,4.3,35,77,12,18,1313.3,54,2253:01:00,2311:01:00,627:01:00,39,39,48,5.8,57,15.5,132,283,119,8.6,Yes,20,86,16
Mississippi,Wayne,27,13,23,6.9,40,8,15,11,577.1,48,2900:01:00,4037:01:00,2883:01:00,30,40,32,6,35,10.8,,,96,8.8,Yes,13,80,42
Mississippi,Webster,23,11,24,6.5,25,0,15,14,788.5,32,3263:01:00,3230:01:00,1384:01:00,38,33,25,5,31,12.3,,,127,8.7,No,15,90,50
Mississippi,Wilkinson,36,13,30,5.2,34,11,12,33,533.8,48,2931:01:00,4315:01:00,4315:01:00,36,18,39,4.9,65,10.2,,,153,8.3,No,17,86,40
