State,County,% Fair or Poor Health,% Low birthweight,% Smokers,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Driving Deaths with Alcohol Involvement,Chlamydia rate per 100000,Teen Birth Rate,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,% With Annual Mammogram,% Vaccinated (Influenza),% Children in Poverty,Income Ratio (80th% : 20th%),% Children in Single-Parent Households,Social Association Rate,Annual Average Violent Crimes,Violent Crime Rate,Injury Death Rate,Average Daily Air Polution above 2.5 ppm,Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone
Alabama,Limestone,20,9,20,7.7,26,61,16,25,424.8,23,2748:01:00,3533:01:00,1902:01:00,43,48,16,5,22,8.8,147,160,63,10.6,No,11,89,43
Alabama,Lowndes,31,14,26,5,33,5,11,31,982.5,31,9974:01:00,,,40,38,36,6.4,51,6,56,671,134,9.4,No,18,88,60
Alabama,Macon,28,14,23,4.9,33,31,11,33,1205,22,2634:01:00,3614:01:00,241:01:00,35,34,39,6,50,7.1,138,734,106,10,Yes,19,85,39
Alabama,Madison,18,10,17,7.5,24,69,15,31,658.6,19,1124:01:00,1767:01:00,673:01:00,47,47,17,5.2,26,10.7,2155,611,70,7.5,No,12,88,27
Alabama,Marengo,27,12,23,5.7,33,43,13,23,485.2,26,2118:01:00,3773:01:00,2695:01:00,36,36,36,7,41,17.3,88,449,96,9.2,No,16,88,30
Alabama,Marion,24,10,24,7,33,47,15,18,207.8,40,2976:01:00,4952:01:00,5942:01:00,37,39,23,5,25,10.4,89,296,94,9.1,Yes,10,86,28
Alabama,Marshall,24,8,23,7.2,37,54,15,24,231.3,45,1747:01:00,2688:01:00,386:01:00,37,49,22,4.6,28,10.4,272,286,87,10.7,No,14,87,33
Alabama,Mobile,21,12,21,6.6,29,70,17,34,723,33,1510:01:00,1913:01:00,998:01:00,37,42,26,5.3,38,11.4,2273,548,83,8.1,No,16,86,37
Alabama,Monroe,28,12,26,5.4,36,52,13,24,567.4,35,2341:01:00,4147:01:00,1091:01:00,40,36,31,8.2,45,12.8,105,492,92,8.9,No,12,90,32
Alabama,Montgomery,23,13,20,6,29,74,13,30,1168.8,36,982:01:00,1324:01:00,622:01:00,43,40,23,5.3,44,14.9,1200,532,68,8.6,No,18,85,21
Alabama,Morgan,20,9,21,7.5,27,59,14,25,355.2,36,1921:01:00,1900:01:00,680:01:00,40,45,19,4.5,26,12.1,216,181,85,7.4,No,13,88,34
Alabama,Perry,35,15,27,5.1,36,53,11,62,685.3,24,3047:01:00,4462:01:00,2231:01:00,39,24,46,5.2,67,9.8,22,381,92,9.4,No,17,85,38
Alabama,Pickens,27,13,24,6.8,26,6,13,15,594.8,33,2492:01:00,4983:01:00,4983:01:00,44,46,34,5.8,40,10,35,166,83,9.1,No,13,82,54
Alabama,Pike,25,11,21,6.5,28,51,14,36,826.6,17,2223:01:00,3311:01:00,1656:01:00,40,39,30,6.6,40,10.2,188,564,70,9.1,No,16,85,24
Alabama,Randolph,24,9,23,7.1,34,41,14,46,577.9,39,4545:01:00,7574:01:00,4544:01:00,31,33,28,4.8,28,9.7,45,196,96,9.7,No,13,88,42
Alabama,Russell,25,11,22,6.7,32,64,14,17,606.5,36,3852:01:00,3864:01:00,2147:01:00,37,42,25,5.5,40,9.5,306,505,97,10.8,No,17,87,37
Alabama,St. Clair,21,9,21,7.9,30,42,15,14,222.2,29,5913:01:00,3580:01:00,4069:01:00,38,43,15,4.1,17,8.6,261,299,93,11,No,11,87,55
Alabama,Shelby,15,7,15,8.3,24,84,18,23,206,13,1219:01:00,1845:01:00,1196:01:00,40,46,8,4,16,10.9,419,264,60,11.4,No,10,86,48
Alabama,Sumter,29,13,23,5.4,33,36,11,33,1111.4,23,1813:01:00,6214:01:00,6214:01:00,52,31,45,7.4,56,9.5,57,435,114,9,No,21,84,40
Alabama,Talladega,27,11,24,6.8,37,48,13,28,529.6,30,3070:01:00,3199:01:00,4999:01:00,34,36,25,5.2,41,13.2,378,469,104,8.6,No,12,83,34
Alabama,Tallapoosa,25,14,24,7,27,69,14,21,437.6,38,2025:01:00,3364:01:00,3364:01:00,38,47,26,5.4,37,14.1,258,639,90,10,No,17,86,39
Alabama,Tuscaloosa,21,11,20,7.3,28,76,15,34,890.7,21,1393:01:00,2013:01:00,684:01:00,44,46,20,5.2,35,10.7,819,402,64,7.4,No,16,86,26
Alabama,Walker,24,11,25,6.8,32,44,14,25,262.3,44,2450:01:00,2190:01:00,2049:01:00,46,42,24,5,29,14.3,292,450,108,10.4,No,12,85,40
Alabama,Washington,26,12,24,6.7,34,18,14,30,592.8,30,8189:01:00,8163:01:00,3265:01:00,35,28,28,5.7,38,14.7,41,243,123,9,No,9,87,53
Alabama,Wilcox,32,14,26,3.2,35,6,11,45,849,41,3542:01:00,10373:1,10373:1,34,23,49,5.4,60,6.6,72,645,110,8.9,No,9,89,44
Alabama,Winston,24,10,25,7.2,36,76,16,17,206.6,40,2366:01:00,5907:01:00,7876:01:00,38,41,23,4.8,28,10.6,24,107,90,9.7,Yes,10,80,47
Alaska,,16,6,19,6.4,19,100,18,38,832.5,25,1069:01:00,978:01:00,200:01:00,35,36,13,4.2,21,11.3,5325,720,97,6.5,,20,69,16
Alaska,Aleutians East,21,,21,5.4,27,100,15,,237.4,,,3337:01:00,1112:01:00,,,13,4.3,31,0,,,,,No,13,27,0
Alaska,Aleutians West,18,7,19,7.8,27,100,17,100,156.2,,2862:01:00,939:01:00,704:01:00,,,5,3,19,0,13,295,49,,Yes,18,47,1
Alaska,Anchorage,14,6,17,8.1,17,100,18,25,905.7,22,873:01:00,778:01:00,205:01:00,38,40,11,3.9,23,11.4,3022,1007,87,6.4,Yes,17,76,13
Alaska,Bethel,32,6,35,2.9,28,100,17,67,3264,60,959:01:00,707:01:00,43:01:00,4,7,32,5.7,26,4.4,,,204,,Yes,59,23,0
Alaska,Bristol Bay,17,,22,6.8,28,100,21,0,,,877:00:00,836:01:00,836:00:00,32,35,11,3.9,18,0,0,0,229,,No,11,60,3
Alaska,Denali,14,,19,5.8,21,100,20,29,337.5,,,2097:00:00,,,,9,3.1,15,0,,,,,No,24,32,30
Alaska,Dillingham,26,6,30,4.8,26,100,19,50,2108.7,41,385:01:00,819:01:00,126:01:00,31,19,27,4.5,30,0,,,149,,No,38,34,5
Alaska,Fairbanks North Star,14,6,17,7.9,18,100,19,41,920.7,24,1222:01:00,697:01:00,158:01:00,35,36,8,3.7,20,9.3,,,84,13.9,No,23,74,17
Alaska,Haines,13,,18,7.5,19,100,22,67,,,353:01:00,1265:01:00,422:01:00,34,35,14,5.2,6,0,4,156,,,No,17,57,0
Alaska,Hoonah-Angoon,19,,24,4.3,17,,21,,,32,,2148:00:00,358:01:00,,,23,4,25,0,,,,,No,18,37,8
Alaska,Juneau,12,5,16,8.2,18,100,21,71,476.7,12,823:01:00,940:01:00,129:01:00,38,46,8,3.5,17,14.9,236,714,89,6.5,Yes,12,68,8
Alaska,Kenai Peninsula,16,5,21,7.6,21,100,20,25,233.7,19,1330:01:00,1432:01:00,405:01:00,,,13,4.8,19,15.2,,,92,,Yes,19,70,15
Alaska,Ketchikan Gateway,16,7,20,8.1,20,100,19,67,534.1,21,928:01:00,1390:01:00,262:01:00,39,44,12,4.5,23,13.7,30,358,87,,Yes,18,65,7
Alaska,Kodiak Island,15,5,19,8,25,100,19,,416.4,18,890:01:00,1444:01:00,260:01:00,31,41,9,3.3,13,14.2,,,67,,Yes,24,64,3
Alaska,Kusilvak,42,6,45,1.6,27,,15,100,,84,,,831:01:00,4,11,36,4.3,31,3.6,,,271,,Yes,69,6,0
Alaska,Lake and Peninsula,25,6,29,3.5,27,100,18,,617.3,,1587:00:00,1592:00:00,796:01:00,,,25,4.5,28,0,,,240,,Yes,29,22,0
Alaska,Matanuska-Susitna,16,6,20,7.7,20,100,19,37,364.2,17,2030:01:00,2006:01:00,509:01:00,35,33,13,4.5,17,7.8,,,88,5.7,Yes,20,74,42
Alaska,Nome,28,6,34,3.7,20,100,18,88,3003.7,57,1001:01:00,1000:01:00,110:01:00,32,4,26,4.6,28,3,,,177,,Yes,52,25,0
Alaska,North Slope,20,6,25,7.1,33,100,21,33,960.9,56,4936:01:00,1229:01:00,983:01:00,,,15,4.6,26,4.1,79,809,113,,No,44,19,3
Alaska,Northwest Arctic,30,7,34,3.6,24,100,17,0,3045.3,71,1279:01:00,3811:01:00,98:01:00,,,30,5.6,31,6.5,,,232,,Yes,51,19,0
Alaska,Petersburg,15,,20,8,23,,22,,,,537:01:00,1089:01:00,233:01:00,,,9,4.2,23,9.3,13,411,62,,No,16,50,3
Alaska,Prince of Wales-Hyder,21,5,27,6,19,,20,50,,17,1070:01:00,2068:01:00,620:01:00,,,23,4.5,24,12.5,,,132,,No,18,49,13
Alaska,Sitka,14,5,18,8.3,18,100,19,,218.7,11,509:01:00,708:01:00,48:01:00,33,39,9,3.7,25,17.3,9,101,80,,No,16,62,1
Alaska,Skagway,12,,17,8.2,18,,22,,,,1148:00:00,1183:00:00,1183:01:00,39,33,7,2.6,29,0,4,372,,,No,11,35,1
