county_name,crime rate per 100000,Murder rate per 100000,Rape rate per 100000,Robbery rate per 100000,Aggrevated Assault rate per 100000,Burglery rate per 100000,Larceny rate per 100000,Motor Vehicle Theft rate per 100000,Arson rate per 100000
"Twiggs County, GA",153.2838109,0,0,47.1642495,106.1195614,695.6726801,1190.8973,70.74637425,11.79106237
"Clarion County, PA",153.2371345,5.107904482,71.51066275,7.661856723,68.95671051,349.891457,1241.220789,61.29485379,15.32371345
"Houston County, TX",152.7650474,4.364715639,0,4.364715639,144.0356161,571.7777487,1034.437606,113.4826066,8.729431278
"Delta County, TX",152.7300496,0,0,19.0912562,133.6387934,1260.02291,992.7453226,190.912562,38.18251241
"Rio Grande County, CO",152.5036008,16.94484453,8.472422266,42.36211133,84.72422266,610.0144031,1321.697873,25.4172668,8.472422266
"Oceana County, MI",152.4099829,11.43074871,60.96399314,11.43074871,68.58449228,567.7271861,1375.500095,53.343494,3.810249571
"Moniteau County, MO",152.4003048,0,19.0500381,38.1000762,95.2501905,400.0508001,850.9017018,76.2001524,6.3500127
"Bertie County, NC",152.3790798,0,9.830908376,39.3236335,103.2245379,589.8545026,1125.639009,54.06999607,14.74636256
"Santa Rosa County, FL",152.0832299,0,15.51869693,16.76019268,119.8043403,370.5864826,961.5384615,62.0747877,4.345235139
"Limestone County, AL",151.9500253,4.502222973,2.251111486,28.13889358,117.0577973,447.9711858,1289.886882,63.03112162,0
"Orange County, NC",151.7612859,3.5624715,11.3999088,42.749658,94.04924761,752.3939808,1669.374145,99.74920201,7.837437301
"Currituck County, NC",151.6642072,0,8.198065257,8.198065257,135.2680767,467.2897196,1717.494671,45.08935891,24.59419577
"Spink County, SD",151.2859304,0,60.51437216,0,90.77155825,105.9001513,468.9863843,60.51437216,45.38577912
"Sullivan County, NH",151.2190583,4.6528941,30.24381165,4.6528941,111.6694584,390.8431044,1654.103853,76.77275265,13.9586823
"Lake County, IL",151.0627736,0.853461997,23.47020493,37.83681522,88.9022914,351.9108303,1402.095818,43.3843182,8.107888976
"Union County, IA",150.9973774,0,0,0,150.9973774,341.7309068,794.723039,55.63061273,0
"DeSoto County, MS",150.9747979,1.188777936,25.55872563,33.88017118,90.34712316,553.9705183,1484.783642,83.80884451,6.53827865
"Burlington County, NJ",150.8302317,0.443618329,19.07558813,54.78686357,76.30235251,429.8661604,1278.951641,81.84758161,12.19950403
"Lincoln County, ID",150.5174036,0,37.62935089,18.81467545,94.07337723,169.332079,56.44402634,18.81467545,0
"Montgomery County, MO",150.4387798,0,16.71541997,8.357709987,125.3656498,426.2432094,1078.144588,66.8616799,0
"Paulding County, GA",150.3912896,0.680503573,12.24906431,21.77611432,115.6856073,467.5059544,1369.173188,184.4164682,6.124532154
"McLeod County, MN",150.3424467,2.784119383,64.03474581,2.784119383,80.73946211,270.0595802,1606.436884,69.60298458,13.92059692
"Kerr County, TX",150.1411327,4.003763538,24.02258123,16.01505415,106.0997337,442.4158709,1509.418854,74.06962545,12.01129061
"Jay County, IN",150.0234412,0,0,18.75293015,131.270511,243.7880919,1406.469761,89.07641819,0
"Marshall County, KS",149.970006,0,9.9980004,0,129.9740052,439.9120176,1039.792042,99.980004,9.9980004
"Latah County, ID",149.692736,0,23.63569515,10.5047534,115.5522874,430.6948894,1701.770051,78.78565051,10.5047534
"Jackson County, KS",149.6333982,0,7.481669909,0,142.1517283,478.8268742,1167.140506,97.26170881,7.481669909
"Johnson County, KS",149.2239824,1.411101488,22.93039918,22.22484844,102.6576333,270.5787104,1571.967058,170.0377293,15.34572868
"Orleans County, NY",149.1653842,0,11.83852255,21.30934059,116.017521,454.599266,1517.698591,59.19261276,9.470818042
"Simpson County, MS",149.0909091,0,3.636363636,18.18181818,127.2727273,483.6363636,712.7272727,83.63636364,7.272727273
"Jackson County, GA",149.0727999,0,18.019789,14.74346373,116.3095472,396.4353581,1562.807155,88.46078239,3.276325274
"Grant County, IN",149.0032694,4.33990105,20.25287157,73.77831785,50.63217892,567.0804039,1932.702601,138.8768336,14.46633683
